"","CPSID","CPSIDP","public_housing","age","female","race","marital_status","veteran","employed","education","worked_last_year","total_income_last_year","wage_income_last_year","own_farm_income_last_year","private_health_insurance","medicaid","class_of_worker","class_of_worker_last_year","union","earnings"
"1566",20181203986500,20181203986501,NA,36,0,1,1,0,1,123,1,86000,86000,0,1,0,21,22,0,1423
"1579",20181204003900,20181204003901,NA,41,0,1,1,0,1,125,1,200755,200000,0,1,0,21,22,0,2885
"1591",20171204051300,20171204051301,NA,29,0,1,1,0,1,92,1,53205,53000,0,1,0,21,22,0,1019
"1592",20171204051300,20171204051302,NA,33,1,1,1,0,1,123,1,50201,50000,0,1,0,21,22,1,769
"1593",20171204066700,20171204066701,0,59,0,1,4,0,1,81,1,40046,40000,0,1,0,21,22,0,680
"1594",20171204066700,20171204066702,0,19,0,1,6,0,1,73,1,6400,6400,0,1,0,21,22,0,560
"1595",20181204016400,20181204016401,NA,64,1,1,4,0,1,73,1,36997,36997,0,1,0,21,22,0,570
"1596",20181204016400,20181204016402,NA,40,0,1,6,0,1,60,1,19149,3921,0,0,1,21,22,0,96
"1597",20171204085100,20171204085101,NA,48,0,1,1,0,1,111,1,66017,66000,0,1,0,21,22,0,1288
"1598",20171204085100,20171204085102,NA,49,1,1,1,0,1,123,1,89017,89000,0,1,0,21,22,0,1731
"1611",20171204078900,20171204078901,NA,46,0,1,1,0,1,73,1,72001,72000,0,1,0,21,22,0,1750
"1612",20171204078900,20171204078902,NA,44,1,1,1,0,1,73,1,105000,105000,0,1,0,21,22,0,1153
"1626",20171204084200,20171204084201,NA,54,1,1,4,0,1,81,1,84204,64200,0,1,0,21,22,0,1384
"1627",20171204084200,20171204084202,NA,32,0,1,6,0,1,81,1,32000,32000,0,1,0,21,22,0,606
"1642",20181204004700,20181204004701,NA,33,1,1,1,0,1,123,1,70000,70000,0,1,0,21,22,0,1346
"1643",20181204004700,20181204004702,NA,34,0,1,1,1,1,81,1,65000,65000,0,1,0,21,22,0,640
"1665",20181204003100,20181204003101,NA,57,1,1,4,0,1,91,1,17092,17000,0,1,0,21,22,0,1440
"1667",20171204075900,20171204075901,NA,70,1,1,1,0,1,92,1,38080,25000,0,0,0,28,28,1,720
"1673",20181204005200,20181204005201,0,26,0,1,6,0,1,111,1,72021,57000,0,1,0,27,27,1,1096
"1674",20181204005200,20181204005202,0,24,1,1,6,0,1,81,1,35000,35000,0,1,0,21,22,0,635
"1751",20171204052200,20171204052202,NA,63,0,1,1,0,1,111,1,45000,45000,0,1,0,21,22,0,865
"1755",20181203984700,20181203984701,0,65,1,1,6,0,1,123,1,108000,6000,0,0,0,28,22,0,630
"1757",20171204083900,20171204083901,NA,72,1,1,5,0,1,73,1,31700,11000,0,0,0,21,22,0,180
"1783",20181204000400,20181204000401,0,34,0,1,6,0,1,111,1,49606,49000,0,1,0,21,22,0,2000
"1784",20181203992300,20181203992301,NA,58,0,1,2,0,1,111,1,17505,16000,0,1,0,28,28,1,604
"1821",20171204094000,20171204094001,NA,77,1,1,5,0,1,111,1,26869,13585,0,0,0,28,28,0,245
"1828",20171204079100,20171204079101,NA,70,1,1,5,0,1,73,1,26800,10000,0,1,0,28,28,1,250
"1901",20171204041400,20171204041402,NA,45,1,1,1,0,1,123,1,5613,2600,0,1,0,21,22,0,1232
"1915",20171204025700,20171204025701,NA,69,1,1,4,0,1,73,1,27900,15000,0,1,0,21,22,0,288
"1916",20171204016100,20171204016101,NA,58,1,1,6,0,1,111,1,80302,66909,0,1,0,27,27,1,1296
"1927",20171204034400,20171204034401,NA,73,0,1,1,0,1,111,1,114984,4000,0,1,0,21,22,0,175
"1929",20171204034400,20171204034403,NA,45,0,1,4,0,1,111,1,15000,9000,0,1,0,21,22,0,1288
"1943",20171204041700,20171204041701,NA,56,1,1,4,0,1,91,1,85301,70100,0,1,0,21,22,0,1346
"1968",20171204023900,20171204023901,0,50,1,1,4,0,1,111,1,25209,25000,0,1,0,28,28,0,615
"1975",20181203969500,20181203969501,NA,62,1,1,4,0,1,111,1,74255,70000,0,1,0,21,22,0,400
"1976",20181203969500,20181203969502,NA,76,1,1,3,0,1,92,1,29000,29000,0,1,0,25,22,0,491
"1991",20171204007600,20171204007601,NA,48,1,1,1,0,1,81,1,40000,40000,0,1,0,21,22,0,600
"1992",20171204007600,20171204007602,NA,49,0,1,1,0,1,111,1,45110,45000,0,1,0,21,27,0,2115
"1995",20171204026700,20171204026701,NA,64,0,1,4,0,1,73,1,54530,52000,0,1,0,21,22,0,1000
"1996",20171204026700,20171204026702,NA,62,1,1,4,0,1,123,1,55868,15006,0,1,0,27,27,0,289
"2016",20181203963000,20181203963001,NA,64,1,1,1,0,1,91,1,72050,72000,0,1,0,25,25,0,1346
"2029",20171204012400,20171204012401,NA,62,1,1,4,0,1,123,1,29612,13500,0,1,0,21,22,0,300
"2030",20171204012400,20171204012402,NA,21,0,1,6,0,1,81,1,12602,7600,0,1,0,21,22,0,419
"2035",20181203952000,20181203952001,NA,33,1,1,1,0,1,111,1,48252,48000,0,1,0,21,22,0,1229
"2036",20181203952000,20181203952002,NA,31,0,1,1,0,1,92,1,204450,203000,0,1,0,21,22,0,1885
"2062",20171204041600,20171204041603,1,35,0,1,6,0,1,40,1,6600,6600,0,0,1,21,22,0,129
"2082",20171204036400,20171204036401,0,47,1,1,4,0,1,73,1,75551,73900,0,1,0,21,22,0,1440
"2083",20181203956800,20181203956801,NA,44,1,1,1,0,1,91,1,30150,30000,0,1,0,21,22,0,577
"2084",20181203956800,20181203956802,NA,45,0,1,1,0,1,73,1,84700,84000,0,1,0,21,22,1,1615
"2085",20171204017200,20171204017201,NA,48,1,1,1,0,1,123,1,30206,30000,0,1,0,21,22,0,1238
"2086",20171204017200,20171204017202,NA,51,0,1,1,0,1,73,1,15405,15000,0,1,0,21,22,0,1200
"2121",20171204027100,20171204027101,NA,59,0,1,1,0,1,73,1,87257,75000,0,1,0,21,22,0,1300
"2122",20171204027100,20171204027102,NA,59,1,1,1,0,1,73,1,26698,24000,0,1,0,21,22,0,512
"2124",20171204012800,20171204012801,NA,37,0,1,1,0,1,123,1,175100,175000,0,1,0,21,22,0,2885
"2125",20171204012800,20171204012802,NA,35,1,1,1,0,1,111,1,43800,40000,0,1,0,21,22,1,1731
"2133",20181203943500,20181203943501,0,58,1,1,1,0,1,111,1,51051,45000,0,1,0,21,22,0,865
"2134",20181203943500,20181203943502,0,60,0,1,1,0,1,123,1,310057,250000,0,1,0,21,22,0,2885
"2165",20171204031800,20171204031801,NA,50,1,1,1,0,1,92,1,55011,55000,0,1,0,21,22,0,1153
"2166",20171204031800,20171204031802,NA,50,0,1,1,0,1,73,1,60006,60000,0,1,0,25,25,1,1080
"2167",20171204031800,20171204031803,NA,20,0,1,6,0,1,73,1,20402,20400,0,1,0,25,22,1,580
"2168",20171204031800,20171204031804,NA,20,1,1,6,0,1,73,1,28002,28000,0,1,0,21,22,0,548
"2172",20181203939700,20181203939701,NA,36,0,1,1,0,1,111,1,187801,140000,0,1,0,21,22,0,2692
"2181",20181203951500,20181203951502,NA,59,1,1,1,0,1,81,1,23915,23875,0,1,0,28,28,1,500
"2182",20171204046900,20171204046901,NA,58,0,1,3,0,1,73,1,45006,45000,0,1,0,21,22,0,1231
"2183",20171204046900,20171204046902,NA,52,0,1,4,0,1,73,1,50105,50000,0,1,0,21,22,0,962
"2184",20171204046900,20171204046903,NA,51,0,1,4,0,1,73,1,50305,50000,0,1,0,21,22,0,962
"2187",20181203972100,20181203972103,NA,31,0,1,6,0,1,73,1,18000,18000,0,0,0,21,22,0,381
"2203",20181203954700,20181203954702,NA,50,1,1,1,0,1,92,1,47320,47000,0,1,0,21,22,0,1200
"2228",20171204015100,20171204015101,0,25,0,1,6,0,1,111,1,70221,69216,0,1,0,21,22,0,675
"2229",20171204015100,20171204015102,0,24,1,1,6,0,1,92,1,30011,30001,0,1,0,21,22,0,440
"2241",20181203947500,20181203947501,NA,33,0,1,1,0,1,111,1,92016,92000,0,1,0,21,22,0,1769
"2242",20181203947500,20181203947502,NA,30,1,1,1,0,1,73,1,27530,25000,0,1,0,21,22,0,500
"2253",20181203941500,20181203941501,NA,38,1,1,1,0,1,111,1,1208,1208,0,0,1,21,22,0,57
"2254",20181203941500,20181203941502,NA,43,0,1,1,0,1,92,1,40205,40000,0,0,1,21,22,0,920
"2261",20181203947800,20181203947801,0,52,0,1,4,0,1,81,1,55602,50000,0,1,0,21,22,0,2885
"2262",20181203947800,20181203947802,0,45,1,1,3,0,1,73,1,15000,15000,0,0,0,21,22,0,510
"2264",20181203938700,20181203938702,NA,29,0,1,6,0,1,81,1,5200,5200,0,1,0,21,22,0,2038
"2266",20181203958400,20181203958402,NA,26,0,1,6,0,1,73,1,83221,83200,0,1,0,21,22,0,1280
"2267",20181203958400,20181203958403,NA,60,0,1,6,0,1,60,1,35000,35000,0,0,0,21,22,0,769
"2274",20171204033400,20171204033404,NA,17,1,8,6,0,1,50,1,8000,8000,0,1,0,21,22,0,170
"2275",20171204033400,20171204033402,NA,34,1,2,6,0,1,111,1,75505,75000,0,1,0,25,25,0,1442
"2276",20171204016500,20171204016501,NA,45,0,1,1,0,1,111,1,194407,190000,0,1,0,21,22,0,2884
"2277",20171204016500,20171204016502,NA,44,1,6,1,0,1,111,1,118116,115000,0,1,0,21,22,0,1634
"2280",20181203959700,20181203959701,NA,52,0,1,1,1,1,124,1,120005,120000,0,0,0,25,25,0,1365
"2487",20181203969700,20181203969701,NA,53,1,1,1,0,1,91,1,50000,50000,0,1,0,21,22,0,930
"2501",20171204039400,20171204039404,NA,35,1,1,6,0,1,73,1,48000,48000,0,1,0,21,22,0,920
"2530",20181203977300,20181203977301,NA,46,0,1,6,0,1,91,1,13500,13500,0,1,0,21,22,0,1000
"2531",20181203977300,20181203977303,NA,45,0,1,6,0,1,81,1,30000,30000,0,1,0,21,22,0,865
"2532",20181203977300,20181203977302,NA,43,1,1,6,0,1,111,1,68844,68000,0,1,0,21,22,0,880
"2533",20181203965900,20181203965901,0,53,1,1,4,0,1,81,1,30002,30000,0,1,0,21,22,0,1384
"2534",20181203963700,20181203963701,1,30,1,1,1,0,1,92,1,37000,37000,0,1,0,21,22,0,988
